127.0.0.1 - - [22/Apr/2021:15:46:53 +0900] "GET / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:20:22:08 +0900] "GET /jsp03/quiz_cookie_session/index.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [22/Apr/2021:20:22:45 +0900] "GET /jsp03/quiz_cookie_session/index.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [22/Apr/2021:20:22:45 +0900] "GET /jsp03/quiz_cookie_session/popup.jsp HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [22/Apr/2021:20:22:45 +0900] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:20:22:54 +0900] "GET /jsp03/quiz_cookie_session/index.jsp HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [22/Apr/2021:20:22:54 +0900] "GET /jsp03/quiz_cookie_session/popup.jsp HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [22/Apr/2021:20:22:54 +0900] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:20:22:57 +0900] "GET /jsp03/quiz_cookie_session/makeCookie.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [22/Apr/2021:20:22:58 +0900] "GET /jsp03/quiz_cookie_session/index.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [22/Apr/2021:20:22:59 +0900] "GET /jsp03/quiz_cookie_session/index.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [22/Apr/2021:20:22:59 +0900] "GET /jsp03/quiz_cookie_session/index.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [22/Apr/2021:20:22:59 +0900] "GET /jsp03/quiz_cookie_session/index.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [22/Apr/2021:20:23:00 +0900] "GET /jsp03/quiz_cookie_session/index.jsp HTTP/1.1" 200 279
